# The train part of failures-all.tsv, split by family with seed 1
# (wisp classifier split); see training/README.md for the labels and rules.
test-failure	Test Suite 'SyncTests' failed at 2026-09-14 09:12:03.118.
error	error: this `if` has identical blocks
none	✔ Test failsGracefullyOnEmptyInput() passed after 0.002 seconds.
none	Finished in 0.41207 seconds (files took 1.21 seconds to load)
test-failure	# fail 1
none	expected: 108.0
test-failure	test result: FAILED. 41 passed; 2 failed; 0 ignored; 0 measured; 0 filtered out; finished in 0.37s
none	test result: ok. 64 passed; 0 failed; 1 ignored; 0 measured; 0 filtered out; finished in 0.52s
none	Running unittests src/lib.rs (target/debug/deps/ingest-4f1c2a9be0d3e71a)
test-failure	AssertionError: expected 2 to equal 4
error	ld: library 'ssl' not found
test-failure	FAILED (failures=2, errors=1)
warning	Warning: Each child in a list should have a unique "key" prop.
error	Jest: "global" coverage threshold for lines (80%) not met: 74.12%
test-failure	Stack trace: AssertionError: Timed out retrying after 4000ms: Expected to find element: `[data-test=checkout]`, but never found it.
error	Found 3 errors in 2 files (checked 48 source files)
error	app/models/user.rb:12:3: E: Lint/Syntax: unexpected token kEND
test-failure	[FAIL] tests/e2e/login.spec.ts:22:5 › login › shows error on bad password
error	ninja: build stopped: subcommand failed.
none	at Object.<anonymous> (/Users/dev/web/scripts/seed.js:22:18)
crash	thread 'tokio-runtime-worker' panicked at 'called `Option::unwrap()` on a `None` value', src/worker.rs:88:22
test-failure	/Users/dev/src/app/Tests/AppTests/LoginTests.swift:44: error: -[AppTests.LoginTests testRejectsExpiredToken] : XCTAssertEqual failed: ("200") is not equal to ("401")
test-failure	testing.go:1465: race detected during execution of test
crash	Received signal 6 (SIGABRT), dumping core
none	[fix/error-toast 4c1d2e9] Handle upload errors in the retry path
error	CMake Error at CMakeLists.txt:23 (find_package):
warning	/Users/dev/src/NotesApp/Notes/Assets.xcassets: warning: The app icon set "AppIcon" has an unassigned child.
test-failure	Snapshot Summary › 1 snapshot failed from 1 test suite. Inspect your code changes or run `npm test -- -u` to update them.
error	error: externally-managed-environment
test-failure	** TEST FAILED **
test-failure	❯ src/utils/money.test.ts > formatCents > handles negative values
none	Watching for file changes...
warning	WARNING: The requested image's platform (linux/amd64) does not match the detected host platform (linux/arm64/v8) and no specific platform was requested
test-failure	Failure: test_parses_dates(DateTest) [test/date_test.rb:14]:
crash	KeyError: 'customer_id'
test-failure	AssertionError: expected '-$0.50' to deeply equal '($0.50)'
test-failure	Test 'NotesUITests.testCreateNote()' failed on 'iPhone 17 Pro - iOS 27.0' (4.112 seconds)
test-failure	Test Suites: 1 failed, 24 passed, 25 total
none	expected error returned: ErrUnauthorized (ok)
error	npm ERR! ERESOLVE unable to resolve dependency tree
none	at Module._compile (node:internal/modules/cjs/loader:1554:14)
error	tar: Error opening archive: Failed to open 'dist.tgz'
error	error: failed to push some refs to 'github.com:example/kit.git'
crash	Assertion failed: (ptr != NULL), function pool_release, file pool.c, line 71.
warning	^-- SC2086 (info): Double quote to prevent globbing and word splitting.
error	##[error]The job running on runner GitHub Actions 12 has exceeded the maximum execution time of 360 minutes.
crash	panic: runtime error: index out of range [5] with length 5
error	ERROR: failed to solve: process "/bin/sh -c pip install -r requirements.txt" did not complete successfully: exit code: 1
warning	Sources/Kit/Env.swift:3:5: warning: Identifier Name Violation: Variable name 'x' should be between 3 and 40 characters long (identifier_name)
warning	warning: 'reflection-metadata' is an experimental feature and may be removed
warning	warning: struct `LegacyRow` is never constructed
test-failure	E       AssertionError: assert 3 == 4
error	Sources/Store/Cache.swift:44:9: error: cannot assign to value: 'count' is a 'let' constant
crash	Error: EMFILE: too many open files, watch '/Users/dev/web/src'
crash	zsh: segmentation fault  ./build/bin/engine --scene demo.json
none	# pass  12
none	tests/test_codec.py::test_decode SKIPPED (requires network)                [ 40%]
error	[ERROR] BUILD FAILURE
warning	lib/pool.cpp:40:9: warning: unused variable 'guard' [-Wunused-variable]
none	✓ 1520 modules transformed.
crash	* thread #1, queue = 'com.apple.main-thread', stop reason = EXC_BREAKPOINT (code=1, subcode=0x19a3c5e10)
test-failure	Test failed: Expected <nil> but got <"timeout">
crash	Trace/BPT trap: 5
error	fatal: unable to access 'https://github.com/example/kit.git/': Could not resolve host: github.com
none	The following build commands failed:
error	error[E0382]: borrow of moved value: `config`
none	Downloading urllib3-2.2.3-py3-none-any.whl (126 kB)
test-failure	4 runs, 9 assertions, 1 failures, 0 errors, 0 skips
none	14 runs, 31 assertions, 0 failures, 0 errors, 0 skips
test-failure	2 failing
warning	Warning: Value for undeclared variable
warning	include/config.h:7:9: warning: 'DEBUG' macro redefined [-Wmacro-redefined]
none	=========================== short test summary info ============================
none	ok      github.com/example/billing/internal/ledger    (cached)
test-failure	✕ renders the header with the user name (38 ms)
none	--------------------------------------------------------------------------------
warning	- SecretsUsedInArgOrEnv: Do not use ARG or ENV instructions for sensitive data (ARG "API_TOKEN") (line 9)
crash	Segmentation fault: 11
warning	[WARNING] Some problems were encountered while building the effective model for com.example:svc:jar:1.8.0-SNAPSHOT
error	./main.go:9:2: "strings" imported and not used
error	npm ERR! Missing script: "lint:ci"
error	/bin/sh: line 1: cd: build/out: No such file or directory
error	bash: ./deploy.sh: Permission denied
none	Checked 212 files in 38ms. No fixes applied.
none	Packages: +12
warning	/usr/local/bin/brew: warning: Treating `node@18` as a formula. For the cask, use homebrew/cask/node@18 or specify the `--cask` flag.
none	1   libsystem_kernel.dylib            0x18c2f5a24 __pthread_kill + 8
none	|                 ^^^^^^^^ expected `f64`, found `u32`
none	go: downloading golang.org/x/sync v0.8.0
crash	==48121==ERROR: AddressSanitizer: heap-use-after-free on address 0x602000000a10 at pc 0x0001004c3f10
none	---
error	fatal: not a git repository (or any of the parent directories): .git
none	make: Nothing to be done for 'all'.
crash	MemoryError
warning	Sources/App/Feed.swift:40:21: warning: main actor-isolated property 'items' can not be mutated from a nonisolated context; this is an error in the Swift 6 language mode
warning	⚠ Compiled with warnings in 4.1s
none	[INFO] --- maven-surefire-plugin:3.2.5:test (default-test) @ svc ---
test-failure	/Users/dev/src/engine/tests/ring_test.cc:41: Failure
test-failure	58 examples, 2 failures, 1 pending
crash	sqlite3.OperationalError: database is locked
test-failure	Failure/Error: expect(invoice.total).to eq(108.0)
error	FAILURE: Build failed with an exception.
crash	fish: Job 1, './a.out' terminated by signal SIGSEGV (Address boundary error)
test-failure	[FAIL] InvoiceSpec > "rounds totals to cents"
error	error: could not compile `ingest` (lib) due to 4 previous errors; 1 warning emitted
none	Test Suite 'SyncTests' started at 2026-09-14 09:12:03.100.
crash	Termination Reason: Namespace SIGNAL, Code 6 Abort trap: 6
test-failure	✘ Test importsLegacyCSV() recorded an issue at ImportTests.swift:102:11: #expect(rows.count == 3) → rows.count was 2
none	collected 120 items
